C01-EAN_CODE;C03-COM_REF;REF PHY;C05-GLOBAL_BRAND;C06-COLOR;C07-NAME;Description;C09-COMPOSITION_MATERIAL;C10-PRODUCT_DIMENSIONS;C17-GENDER;C18-SIZE;C19-SEC_ATT;C20-WEB_SIZE;C21-RRP_WO_VAT;C21-RRP_WITH_VAT;special price
;126501-35-NERO;126501NE;LE MATTO;Nero;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;35;2;;90;110;59
;126501-35-OQJ;126501NU;LE MATTO;Nude;SANDALO DONNA;;TACCO 11 CM MADE IN ITALY;;WOMEN;35;2;;90;110;59
;126501-36-NERO;126501NE;LE MATTO;Nero;SANDALO DONNA;;TACCO 11 CM MADE IN ITALY;;WOMEN;36;3;;90;110;59
;126501-36-OQJ;126501NU;LE MATTO;Nude;SANDALO DONNA;;TACCO 11 CM MADE IN ITALY;;WOMEN;36;4;;90;110;59
;126501-37-NERO;126501NE;LE MATTO;Nero;SANDALO DONNA;;TACCO 11 CM MADE IN ITALY;;WOMEN;37;5;;90;110;59
;126501-37-OQJ;126501NU;LE MATTO;Nude;SANDALO DONNA;;TACCO 11 CM MADE IN ITALY;;WOMEN;37;4;;90;110;59
;126501-38-NERO;126501NE;LE MATTO;Nero;SANDALO DONNA;;TACCO 11 CM MADE IN ITALY;;WOMEN;38;9;;90;110;59
;126501-39-NERO;126501NE;LE MATTO;Nero;SANDALO DONNA;;TACCO 11 CM MADE IN ITALY;;WOMEN;39;4;;90;110;59
;126501-40-NERO;126501NE;LE MATTO;Nero;SANDALO DONNA;;TACCO 11 CM MADE IN ITALY;;WOMEN;40;3;;90;110;59
;126501-41-NERO;126501NE;LE MATTO;Nero;SANDALO DONNA;;TACCO 11 CM MADE IN ITALY;;WOMEN;41;1;;90;110;59
;126501-41-OQJ;126501NU;LE MATTO;Nude;SANDALO DONNA;;TACCO 11 CM MADE IN ITALY;;WOMEN;41;1;;90;110;59
;126503-35-NERO;126503NE;LEMATTO;Nero;SANDALO DONNA CON ZEPPA ;;ZEPPA 7 CM MADE IN ITALY;;WOMEN;38;5;;90;110;59
;126503-35NERO;126503NE;LEMATTO;Nero;SANDALO DONNA CON ZEPPA;;ZEPPA 7 CM MADE IN ITALY;;WOMEN;35;2;;90;110;59
;126503-36-NERO;126503NE;LEMATTO;Nero;SANDALO DONNA CON ZEPPA;;ZEPPA 7 CM MADE IN ITALY;;WOMEN;36;2;;90;110;59
;126503-36-NERO;126503NE;LEMATTO;Nero;SANDALO DONNA CON ZEPPA;;ZEPPA 7 CM MADE IN ITALY;;WOMEN;36;2;;90;110;59
;126503-36NERO;126503NE;LEMATTO;Nero;SANDALO DONNA CON ZEPPA;;ZEPPA 7 CM MADE IN ITALY;;WOMEN;36;3;;90;110;59
;126503-37-NERO;126503NE;LEMATTO;Nero;SANDALO DONNA CON ZEPPA;;ZEPPA 7 CM MADE IN ITALY;;WOMEN;37;5;;90;110;59
;126503-38-NERO;126503NE;LEMATTO;Nero;SANDALO DONNA CON ZEPPA;;ZEPPA 7 CM MADE IN ITALY;;WOMEN;38;4;;90;110;59
;126503-38NERO;126503NE;LEMATTO;Nero;SANDALO DONNA CON ZEPPA;;ZEPPA 7 CM MADE IN ITALY;;WOMEN;38;5;;90;110;59
;126503-41NERO;126503NE;LEMATTO;Nero;SANDALO DONNA CON ZEPPA;;ZEPPA 7 CM MADE IN ITALY;;WOMEN;41;2;;90;110;59
;126609-35-GIALLO;126609GIA;LEMATTO;GIALLO;;;PLATEAU 3,5 CM TACC0 12 CM. MADE IN ITALY;;WOMEN;35;1;;90;110;59
;126609-35-NERO;126609NE;LEMATTO;Nero;;;PLATEAU 3,5 CM TACC0 12 CM. MADE IN ITALY;;WOMEN;35;2;;90;110;59
;126609-36-GIALLO;126609GIA;LEMATTO;GIALLO;;;PLATEAU 3,5 CM TACC0 12 CM. MADE IN ITALY;;WOMEN;36;6;;90;110;59
;126609-36-NERO;126609NE;LEMATTO;Nero;;;PLATEAU 3,5 CM TACC0 12 CM. MADE IN ITALY;;WOMEN;36;5;;90;110;59
;126609-37-GIALLO;126609GIA;LEMATTO;GIALLO;;;PLATEAU 3,5 CM TACC0 12 CM. MADE IN ITALY;;WOMEN;37;7;;90;110;59
;126609-37-NERO;126609NE;LEMATTO;Nero;;;PLATEAU 3,5 CM TACC0 12 CM. MADE IN ITALY;;WOMEN;37;9;;90;110;59
;126609-38-GIALLO;126609GIA;LEMATTO;GIALLO;;;PLATEAU 3,5 CM TACC0 12 CM. MADE IN ITALY;;WOMEN;38;9;;90;110;59
;126609-38-NERO;126609NE;LEMATTO;Nero;;;PLATEAU 3,5 CM TACC0 12 CM. MADE IN ITALY;;WOMEN;38;12;;90;110;59
;126609-39-GIALLO;126609GIA;LEMATTO;GIALLO;;;PLATEAU 3,5 CM TACC0 12 CM. MADE IN ITALY;;WOMEN;39;7;;90;110;59
;126609-39-NERO;126609NE;LEMATTO;Nero;;;PLATEAU 3,5 CM TACC0 12 CM. MADE IN ITALY;;WOMEN;39;7;;90;110;59
;126609-40-GIALLO;126609GIA;LEMATTO;GIALLO;;;PLATEAU 3,5 CM TACC0 12 CM. MADE IN ITALY;;WOMEN;40;5;;90;110;59
;126609-40-NERO;126609NE;LEMATTO;Nero;;;PLATEAU 3,5 CM TACC0 12 CM. MADE IN ITALY;;WOMEN;40;4;;90;110;59
;126609-41-GIALLO;126609GIA;LEMATTO;GIALLO;;;PLATEAU 3,5 CM TACC0 12 CM. MADE IN ITALY;;WOMEN;41;4;;90;110;59
;126609-41-NERO;126609NE;LEMATTO;Nero;;;PLATEAU 3,5 CM TACC0 12 CM. MADE IN ITALY;;WOMEN;41;4;;90;110;59
;126611-35-NERO;126611NE;LE MATTO;Nero;SANDALO DONNA CON ZEPPA;;TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY;;WOMEN;35;2;;90;110;59
;126611-35-NUDE;126611NU;LE MATTO;Nude;SANDALO DONNA CON ZEPPA;;TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY;;WOMEN;35;1;;90;110;59
;126611-36-NERO;126611NE;LE MATTO;Nero;SANDALO DONNA CON ZEPPA;;TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY;;WOMEN;36;2;;90;110;59
;126611-36-NUDE;126611NU;LE MATTO;Nude;SANDALO DONNA CON ZEPPA;;TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY;;WOMEN;36;2;;90;110;59
;126611-37-NERO;126611NE;LE MATTO;Nero;SANDALO DONNA CON ZEPPA;;TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY;;WOMEN;37;4;;90;110;59
;126611-37-NUDE;126611NU;LE MATTO;Nude;SANDALO DONNA CON ZEPPA;;TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY;;WOMEN;37;7;;90;110;59
;126611-38-NERO;126611NE;LE MATTO;Nero;SANDALO DONNA CON ZEPPA;;TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY;;WOMEN;38;7;;90;110;59
;126611-38-NUDE;126611NU;LE MATTO;Nude;SANDALO DONNA CON ZEPPA;;TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY;;WOMEN;38;8;;90;110;59
;126611-39-NERO;126611NE;LE MATTO;Nero;SANDALO DONNA CON ZEPPA;;TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY;;WOMEN;39;2;;90;110;59
;126611-39-NUDE;126611NU;LE MATTO;Nude;SANDALO DONNA CON ZEPPA;;TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY;;WOMEN;39;3;;90;110;59
;126611-40-NERO;126611NE;LE MATTO;Nero;SANDALO DONNA CON ZEPPA;;TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY;;WOMEN;40;3;;90;110;59
;126611-40-NUDE;126611NU;LE MATTO;Nude;SANDALO DONNA CON ZEPPA;;TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY;;WOMEN;40;3;;90;110;59
;126611-41-NERO;126611NE;LE MATTO;Nero;SANDALO DONNA CON ZEPPA;;TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY;;WOMEN;41;2;;90;110;59
;126611-41-NUDE;126611NU;LE MATTO;Nude;SANDALO DONNA CON ZEPPA;;TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY;;WOMEN;41;2;;90;110;59
;126614-35-GRIGIO;126614NU;LE MATTO;Nude;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;35;2;;120;146;69
;126614-35-NERO;126414NE;LE MATTO;Nero;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;35;2;;120;146;69
;126614-36-GRIGIO;126614GRI;LE MATTO;Nude;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;36;1;;120;146;69
;126614-36-NERO;126414NE;LE MATTO;Nero;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;36;7;;120;146;69
;126614-37-GRIGIO;126614GRI;LE MATTO;Nude;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;37;;;120;146;69
;126614-37-NERO;126414NE;LE MATTO;Nero;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;37;2;;120;146;69
;126614-38-GRIGIO;126614GRI;LE MATTO;Nude;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;38;4;;120;146;69
;126614-38NERO;126414NE;LE MATTO;Nero;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;38;4;;120;146;69
;126614-39-GRIGIO;126614GRI;LE MATTO;Nude;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;39;2;;120;146;69
;126614-39-NERO;126414NE;LE MATTO;Nero;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;39;5;;120;146;69
;126614-40-GRIGIO;126614GRI;LE MATTO;Nude;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;40;3;;120;146;69
;126614-40-NERO;126414NE;LE MATTO;Nero;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;40;3;;120;146;69
;126614-41-GRIGIO;126614GRI;LE MATTO;Nude;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;41;;;120;146;69
;126618-35-NERO;126618NE;LEMATTO;Nero;SANDALO DONNA;;PELLE MADE IN ITALY;;WOMEN;35;3;;120;146;69
;14999-35-NAVY BLU;14999BLU;VILLA SHOES;Blu;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;35;3;;180,33;220;59,99
;14999-35-NERO;14999NE;VILLA SHOES;Nero;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;35;3;;180,33;220;59,99
;14999-35-PATAGONIA FUMO;14999FU;VILLA SHOES;Grigio;DECOLLETE' IN PITONE;;PELLE MADE IN ITALY;;WOMEN;35;3;;180,33;220;59,99
;14999-35-ROSSO;14999RO;VILLA SHOES;Rosso;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;35;3;;180,33;220;59,99
;14999-36-NAVY BLU;14999BLU;VILLA SHOES;Blu;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;36;2;;180,33;220;59,99
;14999-36-NERO;14999NE;VILLA SHOES;Nero;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;36;2;;180,33;220;59,99
;14999-36-PATAGONIA FUMO;14999FU;VILLA SHOES;Grigio;DECOLLETE' IN PITONE;;PELLE MADE IN ITALY;;WOMEN;36;2;;180,33;220;59,99
;14999-36-ROSSO;14999RO;VILLA SHOES;Rosso;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;36;2;;180,33;220;59,99
;14999-37-NAVY BLU;14999BLU;VILLA SHOES;Blu;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;37;1;;180,33;220;59,99
;14999-37-NERO;14999NE;VILLA SHOES;Nero;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;37;1;;180,33;220;59,99
;14999-37-PATAGONIA FUMO;14999FU;VILLA SHOES;Grigio;DECOLLETE' IN PITONE;;PELLE MADE IN ITALY;;WOMEN;37;1;;180,33;220;59,99
;14999-37-ROSSO;14999RO;VILLA SHOES;Rosso;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;37;1;;180,33;220;59,99
;14999-38-NAVY BLU;14999BLU;VILLA SHOES;Blu;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;38;3;;180,33;220;59,99
;14999-38-NERO;14999NE;VILLA SHOES;Nero;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;38;3;;180,33;220;59,99
;14999-38-PATAGONIA FUMO;14999FU;VILLA SHOES;Grigio;DECOLLETE' IN PITONE;;PELLE MADE IN ITALY;;WOMEN;38;3;;180,33;220;59,99
;14999-38-ROSSO;14999RO;VILLA SHOES;Rosso;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;38;3;;180,33;220;59,99
;14999-39-NAVY BLU;14999BLU;VILLA SHOES;Blu;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;39;5;;180,33;220;59,99
;14999-39-NERO;14999NE;VILLA SHOES;Nero;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;39;5;;180,33;220;59,99
;14999-39-PATAGONIA FUMO;14999FU;VILLA SHOES;Grigio;DECOLLETE' IN PITONE;;PELLE MADE IN ITALY;;WOMEN;39;5;;180,33;220;59,99
;14999-39-ROSSO;14999RO;VILLA SHOES;Rosso;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;39;5;;180,33;220;59,99
;14999-40-NAVY BLU;14999BLU;VILLA SHOES;Blu;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;40;6;;180,33;220;59,99
;14999-40-NERO;14999NE;VILLA SHOES;Nero;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;40;6;;180,33;220;59,99
;14999-40-PATAGONIA FUMO;14999FU;VILLA SHOES;Grigio;DECOLLETE' IN PITONE;;PELLE MADE IN ITALY;;WOMEN;40;6;;180,33;220;59,99
;14999-40-ROSSO;14999RO;VILLA SHOES;Rosso;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;40;6;;180,33;220;59,99
;14999-41-NAVY BLU;14999BLU;VILLA SHOES;Blu;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;41;4;;180,33;220;59,99
;14999-41-NERO;14999NE;VILLA SHOES;Nero;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;41;4;;180,33;220;59,99
;14999-41-PATAGONIA FUMO;14999FU;VILLA SHOES;Grigio;DECOLLETE' IN PITONE;;PELLE MADE IN ITALY;;WOMEN;41;4;;180,33;220;59,99
;14999-41-ROSSO;14999RO;VILLA SHOES;Rosso;DECOLLETE' IN CAMOSCIO;;PELLE MADE IN ITALY;;WOMEN;41;4;;180,33;220;59,99
;1750-35-SELLA;1750SE;VILLA SHOES;Cammello;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;35;3;;213,11;260;69,99
;1750-36-SELLA;1750SE;VILLA SHOES;Cammello;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;36;2;;213,11;260;69,99
;1750-37-SELLA;1750SE;VILLA SHOES;Cammello;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;37;1;;213,11;260;69,99
;1750-38-SELLA;1750SE;VILLA SHOES;Cammello;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;38;3;;213,11;260;69,99
;1750-39-SELLA;1750SE;VILLA SHOES;Cammello;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;39;5;;213,11;260;69,99
;1750-40-SELLA;1750SE;VILLA SHOES;Cammello;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;40;6;;213,11;260;69,99
;1750-41-SELLA;1750SE;VILLA SHOES;Cammello;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;41;4;;213,11;260;69,99
;1850-36-NERO;1850NE;VILLA SHOES;Nero;DECOLLETE' VILLA SHOES NERO TACCO 50;;PELLE MADE IN ITALY;;WOMEN;36;1;;89;108,6;49
;1850-37-BORDEAUX;1850BOR;VILLA SHOES;Bordeaux;DECOLLETE' VILLA SHOES BORDEAUX TACCO 50;;PELLE MADE IN ITALY;;WOMEN;37;2;;89;108,6;49
;1850-37-NERO;1850NE;VILLA SHOES;Nero;DECOLLETE' VILLA SHOES NERO TACCO 50;;PELLE MADE IN ITALY;;WOMEN;37;1;;89;108,6;49
;1850-38-BORDEAUX;1850BOR;VILLA SHOES;Bordeaux;DECOLLETE' VILLA SHOES BORDEAUX TACCO 50;;PELLE MADE IN ITALY;;WOMEN;38;4;;89;108,6;49
;1850-38-NERO;1850NE;VILLA SHOES;Nero;DECOLLETE' VILLA SHOES NERO TACCO 50;;PELLE MADE IN ITALY;;WOMEN;38;4;;89;108,6;49
;1850-39-BORDEAUX;1850BOR;VILLA SHOES;Bordeaux;DECOLLETE' VILLA SHOES BORDEAUX TACCO 50;;PELLE MADE IN ITALY;;WOMEN;39;4;;89;108,6;49
;1850-39-NERO;1850NE;VILLA SHOES;Nero;DECOLLETE' VILLA SHOES NERO TACCO 50;;PELLE MADE IN ITALY;;WOMEN;39;4;;89;108,58;49
;1850-40-BORDEAUX;1850BOR;VILLA SHOES;Bordeaux;DECOLLETE' VILLA SHOES BORDEAUX TACCO 50;;PELLE MADE IN ITALY;;WOMEN;40;3;;89;108,6;49
;1850-40-NERO;1850NE;VILLA SHOES;Nero;DECOLLETE' VILLA SHOES NERO TACCO 50;;PELLE MADE IN ITALY;;WOMEN;40;4;;89;108,1;49
;1850-41-BORDEAUX;1850BOR;VILLA SHOES;Bordeaux;DECOLLETE' VILLA SHOES BORDEAUX TACCO 50;;PELLE MADE IN ITALY;;WOMEN;41;2;;89;108,6;49
;1850-41-NERO;1850NE;VILLA SHOES;Nero;DECOLLETE' VILLA SHOES NERO TACCO 50;;PELLE MADE IN ITALY;;WOMEN;41;1;;89;108,58;49
;1851-41-BORDEAUX;1851BOR;VILLA SHOES;Bordeaux;DECOLLETE' VILLA SHOES BORDEAUX TACCO 50;;PELLE MADE IN ITALY;;WOMEN;41;1;;89;108,6;49
;1873-38-BORDEAUX;1873BOR;;BORDEAUX;TRONCHETTO DONNA VILLA SHOES;;PELLE MADE IN ITALY;;WOMEN;38;1;;89;108,6;49
;1890-37-BORDEAUX;1890BOR;VILLA SHOES;Bordeaux;TRONCHETTO DONNA VILLA SHOES BORDEAUX TACCO 70;;PELLE MADE IN ITALY;;WOMEN;37;2;;120;146,5;55
;1890-39-BORDEAUX;1890BOR;VILLA SHOES;Bordeaux;TRONCHETTO DONNA VILLA SHOES BORDEAUX TACCO 70;;PELLE MADE IN ITALY;;WOMEN;39;1;;120;146,5;55
;1890-39-NERO;1890NE;VILLA SHOES;Nero;TRONCHETTO DONNA VILLA SHOES NERO TACCO 70;;PELLE MADE IN ITALY;;WOMEN;39;1;;120;146,5;55
;1890-40-BORDEAUX;1890BOR;VILLA SHOES;Bordeaux;TRONCHETTO DONNA VILLA SHOES BORDEAUX TACCO 70;;PELLE MADE IN ITALY;;WOMEN;40;1;;120;146,5;55
;1890-40-NERO;1890NE;VILLA SHOES;Nero;TRONCHETTO DONNA VILLA SHOES NERO TACCO 70;;PELLE MADE IN ITALY;;WOMEN;40;1;;120;146,5;55
;1890-41-NERO;1890NE;VILLA SHOES;Nero;TRONCHETTO DONNA VILLA SHOES NERO TACCO 70;;PELLE MADE IN ITALY;;WOMEN;41;2;;120;146,5;55
;1891-38-DORATO;1891DOR;VILLA SHOES;Dorato;TRONCHETTO DONNA VILLA SHOES DORATO TACCO 70;;PELLE MADE IN ITALY;;WOMEN;38;1;;120;146,5;55
;1891-38-NERO;1891NE;VILLA SHOES;Nero;TRONCHETTO DONNA VILLA SHOES DORATO TACCO 70;;PELLE MADE IN ITALY;;WOMEN;38;1;;120;146,5;55
;1891-39-DORATO;1891DOR;VILLA SHOES;Dorato;TRONCHETTO DONNA VILLA SHOES DORATO TACCO 70;;PELLE MADE IN ITALY;;WOMEN;39;3;;120;146,5;55
;1972-36-NERO;1972NE;VILLA SHOES;Nero;TRONCHETTO DONNA VILLA SHOES NERO;;PELLE MADE IN ITALY;;WOMEN;36;2;;120;146,5;55
;1972-37-NERO;1972NE;VILLA SHOES;Nero;TRONCHETTO DONNA VILLA SHOES NERO;;PELLE MADE IN ITALY;;WOMEN;37;1;;120;146,5;55
